47;62;78;94;5662;1171;31;7161;234;2091;9516;
32;156;47;94;5490;1171;46;7083;234;1934;9266;
16;78;94;93;5708;1266;31;7301;234;2060;9626;
31;62;47;125;5571;1216;46;7192;249;1903;9360;
62;47;62;78;5521;1249;62;7222;250;2059;9531;
47;63;46;94;5692;1218;79;7332;234;2028;9610;
47;156;125;140;5648;1231;47;7425;250;2075;9750;
31;46;47;94;5494;1214;62;7113;219;2074;9406;
32;78;78;78;5556;1496;77;7410;234;1919;9578;
16;78;78;78;5508;1403;62;7270;234;1825;9344;
15;62;78;78;5568;1157;61;7098;249;2075;9422;
16;172;62;125;5568;1186;47;7207;250;1763;9220;
32;63;78;93;5959;1124;62;7442;249;2013;9704;
15;78;93;78;5399;1292;95;7082;250;2028;9360;
32;63;62;125;5477;1216;47;7052;249;1810;9111;
47;62;78;109;5775;1247;46;7395;234;1669;9298;
31;62;78;78;5741;1420;62;7519;281;1903;9703;
47;63;93;94;5768;1203;80;7379;234;1841;9454;
32;78;63;109;5645;1202;64;7223;250;2137;9610;
32;78;63;109;5695;1261;95;7348;234;1685;9267;
15;78;63;93;5852;1153;78;7363;249;1872;9484;
16;63;78;93;5693;1154;63;7239;234;2371;9844;
47;62;62;140;5738;1139;96;7332;265;1872;9469;
16;78;78;78;5677;1203;46;7239;234;2090;9563;
47;62;63;109;5587;1292;47;7223;250;2090;9563;
62;109;78;78;5708;1202;63;7332;249;1997;9578;
47;63;62;125;5693;1217;48;7285;219;1981;9485;
31;78;78;78;5553;1278;64;7207;234;1872;9313;
31;78;78;125;5979;1215;60;7613;250;2090;9984;
31;62;63;124;5680;1186;61;7238;250;2028;9532;
31;63;78;93;5710;1218;46;7270;234;1840;9344;
63;63;78;140;5504;1235;32;7130;234;1903;9282;
16;62;78;78;5897;1155;108;7441;250;1934;9656;
31;78;62;125;5756;1234;30;7332;265;1903;9500;
31;63;78;93;5790;1294;46;7410;249;1716;9391;
32;94;47;109;5742;1136;64;7254;250;2090;9594;
31;78;62;94;5599;1171;78;7129;234;1888;9251;
15;78;94;109;5679;1169;94;7269;250;2106;9641;
31;78;62;94;5617;1341;62;7301;249;1919;9469;
47;62;63;93;6039;1247;46;7628;219;2043;9890;
32;63;93;78;5695;1137;47;7192;218;1826;9236;
47;78;63;93;5524;1186;45;7067;234;1903;9204;
31;140;125;94;5802;1188;46;7472;250;2012;9734;
31;62;78;94;5632;1153;48;7160;218;1872;9250;
31;62;78;94;5553;1234;45;7129;250;1981;9376;
187;46;125;125;5741;1217;47;7535;234;1934;9703;
93;62;47;94;5508;1374;75;7269;234;2028;9531;
47;62;140;125;5816;1266;47;7519;234;2028;9781;
187;47;125;63;5957;1157;0;7582;218;1638;9453;
31;62;110;109;5617;1169;63;7192;249;2028;9469;
16;62;78;156;5956;1204;31;7582;234;2043;9859;
31;78;31;124;5630;1141;78;7191;234;1841;9282;
31;78;78;78;6005;1218;47;7566;249;2059;9890;
47;78;63;78;5741;1185;32;7254;234;1685;9188;
171;47;46;78;5755;1327;16;7472;250;2043;9765;
125;63;47;93;5616;1186;109;7270;265;2075;9610;
31;187;125;125;5665;1231;31;7426;234;2012;9703;
172;46;47;78;5426;1297;47;7161;234;2028;9423;
46;78;62;125;5800;1250;48;7441;234;2028;9703;
31;62;110;124;5665;1246;63;7317;234;1856;9438;
203;47;47;94;5662;1139;47;7270;234;2043;9547;
